persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
pos_persist_crossrun_mean_z_R,PA_score,C5SER,83,-0.004340396462498564,0.42667476283118,-0.010172611179761535,0.9919224985115833,0.8898042849461503,0.26486630781413173,0.13243315390706586,-0.0052137400366209456,0.9257105713994892,0.3738080021491972,0.012543388004503275,sensitivity
pos_persist_crossrun_mean_z_R,NA_score,C5SER,83,-0.16752361921000367,0.10705743773830405,-1.5648013136602974,0.12369545774441687,-0.3392119718309512,0.09276526247104663,0.04638263123552332,0.022655683494218214,0.1107081411055571,0.36499130052141104,-0.0013598722546979136,sensitivity
pos_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,-1.8014354134253994,0.9471102144722959,-1.9020335605071161,0.0627124851280821,-1.6994668564729254,0.33663295848885144,0.16831647924442572,0.24803776391526677,0.04983954270676644,0.4112247403161765,0.07154670588320144,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGP,C5SER,131,-0.798327819680648,0.3167854755156048,-2.5200897180695474,0.013648282078691561,-0.723898921197921,0.18629232946627533,0.09314616473313767,0.10728050655012851,0.01572907587860748,0.4141248350054866,0.08236419940618389,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN,C5SER,131,-0.07416243265526495,0.24720136352996216,-0.30000818602392565,0.7649209931763781,-0.1256446972854942,0.7676546979506325,0.38382734897531623,0.007204640337455395,0.8324618772161898,0.20558117999650238,-0.24427044096933348,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,131,-0.031245554130525238,0.10634827219011173,-0.2938040598785624,0.7696410733333575,-0.09110468665854846,0.6186845428746683,0.30934227143733417,0.002724546350491658,0.8524763650955384,0.2640527434987817,-0.15268847403805275,sensitivity
pos_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,-0.48691086521494775,0.5407338891602046,-0.9004630095797259,0.3720253944454692,0.11982831949542838,0.9077711211732404,0.4538855605866202,0.036278894478190174,0.44305619280387043,0.371133880163237,0.008326503334335267,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,-0.07921674207604976,0.1392764910324439,-0.5687732472926571,0.5719584862075753,-0.13783156971123564,0.6053489401934422,0.3026744700967211,0.00766327708935525,0.5289320594909407,0.327984892557328,-0.05971613096729045,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,-1.4825625354812098,1.2218836496063115,-1.2133418234697622,0.23048196121195108,-1.8393181676280275,0.43265484564819645,0.21632742282409823,0.14244069184283,0.18510016907687754,0.3872467309507287,0.03373522957614916,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,131,-1.1073321413147548,0.4514020496255559,-2.4530950673203673,0.01625716877573437,-1.428129644898097,0.04566096075243836,0.02283048037621918,0.09646246340772086,0.018679448193468944,0.4167694911040227,0.08650643184967421,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,131,-0.22710553856742816,0.35125914453898405,-0.6465469784864865,0.5197090733123602,-0.5314008969532467,0.3347472973844575,0.16737364869222876,0.01727753054602546,0.5822987219854822,0.21360328090285974,-0.23170570460997864,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,131,-0.09805450573744653,0.15064862676510912,-0.6508821742552809,0.5169204428326976,-0.2997431514714703,0.2054975952098193,0.10274879760490965,0.0071881934096873264,0.5936228826555647,0.27597296620467704,-0.13401824570351795,sensitivity
neg_persist_concat_z_L,PA_score,C5SER,84,-0.06839136973888765,0.24244526133261807,-0.2820899421294914,0.7789731790429437,-0.3539217269225221,0.4064128595367098,0.2032064297683549,0.008319285973500012,0.8594729151900757,0.34062367182001374,-0.03260821205545028,sensitivity
neg_persist_concat_z_L,NA_score,C5SER,84,-0.011921251385237898,0.05924815432244299,-0.2012088228159737,0.841305516329411,0.1192407597273597,0.25376566891984437,0.12688283445992218,0.0029018060274420268,0.8005302071987959,0.3566197687577465,-0.007557720624661313,sensitivity
neg_persist_concat_z_L,NA_score_log,C5SER,84,-0.12262214969849738,0.5412875259576386,-0.22653791897671377,0.82165453176075,0.13810329296817647,0.8842645147240125,0.44213225736200623,0.038303038073748935,0.7151655087545772,0.36795698690592293,0.010196790814935852,sensitivity
neg_persist_concat_z_L,C5SPGP,C5SER,132,0.10408723697809841,0.1674716184130156,0.6215216522324414,0.535919830553383,-0.22374049985720168,0.31746177708864753,0.15873088854432377,-0.020053042591169107,0.5245708813977306,0.3551833842872667,0.006223804019199197,sensitivity
neg_persist_concat_z_L,C5SPGN,C5SER,132,-0.1176866588551308,0.12442356669235936,-0.9458550496797303,0.34690361146547144,-0.049555276179329366,0.7650732501600358,0.3825366250800179,0.01864839254671105,0.42606900462282926,0.2044075285132646,-0.22614839723249824,sensitivity
neg_persist_concat_z_L,C5SPGN_log,C5SER,132,-0.054519058260896675,0.053798309997872586,-1.0133972287057453,0.31374648102680125,-0.022120590341035987,0.7577042442449258,0.3788521221224629,0.008413319685104266,0.4063352809463274,0.2586474311128699,-0.1425551355789887,sensitivity
neg_persist_concat_z_R,PA_score,C5SER,84,-0.23386747127878316,0.3325783323508393,-0.703195152930392,0.485011789985185,-0.27726631551959574,0.5675963889746711,0.28379819448733556,-0.011603134488047676,0.32292605634657157,0.3371183407731443,-0.03809769275149111,sensitivity
neg_persist_concat_z_R,NA_score,C5SER,84,0.11470835866680225,0.08082439270597043,1.4192294532183827,0.16168689597142216,0.200158790729644,0.09337563800525617,0.046687819002628084,0.0039836030783567365,0.16451279536739463,0.3603460151308273,-0.0017222781913459606,sensitivity
neg_persist_concat_z_R,NA_score_log,C5SER,84,0.10140419030517561,0.7386764410897918,0.13727822448969798,0.8913310684530895,0.5536083249941579,0.6072522258499925,0.30362611292499625,0.018099754051932208,0.48652110801175996,0.37115843157798545,0.015210373980618641,sensitivity
neg_persist_concat_z_R,C5SPGP,C5SER,132,-0.3298186548943284,0.23894295037106358,-1.3803238571472414,0.17110635536155497,-0.11456024396384434,0.6789918566243729,0.33949592831218645,-0.006242759975785359,0.40463717271944155,0.35313787275252106,0.00307130977153236,sensitivity
neg_persist_concat_z_R,C5SPGN,C5SER,132,0.03852492169107319,0.17787899975452587,0.2165793699325824,0.8290551201350814,0.10946855174078918,0.5954018963891883,0.29770094819459414,-0.002332026654174331,0.6753457562220475,0.1986832432450416,-0.23497053099881837,sensitivity
neg_persist_concat_z_R,C5SPGN_log,C5SER,132,0.02185019869389511,0.07704229365100607,0.28361303458687687,0.7773966016414348,0.0329817435433693,0.7117129385750649,0.35585646928753245,-0.0012463578418279476,0.6053831617539511,0.25076952542131703,-0.1546963784683233,sensitivity
neg_persist_concat_z_bilateral,PA_score,C5SER,84,-0.058228852752784666,0.3627040036685932,-0.1605409704988783,0.8730652977268555,-0.28886681731693686,0.5776510040242111,0.28882550201210555,0.001886248246743688,0.9648902454269258,0.3363103682897963,-0.03936300814994165,sensitivity
neg_persist_concat_z_bilateral,NA_score,C5SER,84,0.012112844000305711,0.08831094813634366,0.13716129490088408,0.8914230394550955,0.15511459638456948,0.22203730609886738,0.11101865304943369,-0.0007620313807134788,0.9417780354631042,0.35716200453554636,-0.006708558934899189,sensitivity
neg_persist_concat_z_bilateral,NA_score_log,C5SER,84,-0.6266246803356526,0.7993798516195864,-0.7838885094064824,0.4365948993265819,-0.019085784576844178,0.9866621634280526,0.4933310817140263,0.08699247358016907,0.3589163753284875,0.3800575505192586,0.02914673005846158,sensitivity
neg_persist_concat_z_bilateral,C5SPGP,C5SER,132,-0.05307034614157302,0.2446203767046289,-0.21694981774005576,0.8287673342276018,-0.15690754839947763,0.5845675865335367,0.29228379326676834,0.005214690037796968,0.8688420272737271,0.3392983390282065,-0.018257853968293603,sensitivity
neg_persist_concat_z_bilateral,C5SPGN,C5SER,132,-0.11455143974965876,0.1797124650123659,-0.6374151049665728,0.525567742198044,0.040604574518556424,0.8471699464213664,0.4235849732106832,0.011346754318144688,0.6249997031886027,0.20290859509032233,-0.22845851815491502,sensitivity
neg_persist_concat_z_bilateral,C5SPGN_log,C5SER,132,-0.04781815195077935,0.07782157723381844,-0.6144587870161967,0.540553491799451,0.011919749020939244,0.8960432915654175,0.44802164578270876,0.004391656055532019,0.6621655986204414,0.2550040022181591,-0.14817030246377838,sensitivity
neg_persist_crossrun_mean_z_L,PA_score,C5SES,83,-0.8811619667275661,0.691367210290876,-1.2745209110464446,0.2081450300345989,-2.1117123015173993,0.059103938940843516,0.029551969470421758,0.011952296116047399,0.422670249539817,0.39347562951956117,0.04355772347315423,primary
neg_persist_crossrun_mean_z_L,NA_score,C5SES,83,0.312844063476344,0.16752401366923278,1.8674580236242304,0.0674785992437021,0.809706178448008,0.0035592256142949717,0.0017796128071474859,-0.005267343895440455,0.14762189688322758,0.4263893294650143,0.09546009646406106,primary
neg_persist_crossrun_mean_z_L,NA_score_log,C5SES,83,2.7961015252475354,1.5625745167830505,1.789419637409682,0.07937165405772692,4.411568458121916,0.08030752279991772,0.04015376139995886,-0.04118256489853735,0.22346353199363975,0.4087827680580858,0.06769590347621224,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,C5SES,131,0.2094115797420788,0.41500936972849506,0.5045948236760986,0.6151804878540805,-0.7364698431226249,0.21362659190960062,0.10681329595480031,-0.0036285746458036283,0.6038623017073482,0.39534130784703503,0.052944217109813896,sensitivity
