fc_var,condition,seed_target,affect_var,n,r,p
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,148,0.05900239041381336,0.4762605604987324
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,93,0.01151505083778688,0.9127671680237743
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,93,-0.09219746982569328,0.3794179711071465
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,93,-0.09775549721996857,0.35123056549248854
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,148,0.1288285615690937,0.11864451437444933
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,148,-0.16193831539697418,0.04925711203134662
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.14247199536231242,0.08410058226682907
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,93,-0.26609584960254684,0.00993486416928081
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,93,0.382684127537855,0.00015325898611324328
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,93,0.2670009064493176,0.009676250508401627
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,148,0.09724438647634469,0.23967995060828653
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,148,0.0438574049357904,0.5966117756823774
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,148,0.05802148439245263,0.48363553575869617
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,PA_score,93,0.028264947362112526,0.7879724081284635
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score,93,-0.05147526917395351,0.6241191914770393
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score_log,93,-0.08788918240753754,0.4021811419470408
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGP,148,-0.06799777190614258,0.41155196643273556
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN,148,-0.04865756297639179,0.5570198690818358
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.049339377520335806,0.5515006787601834
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,PA_score,93,0.10566625128418566,0.3134294640775088
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score,93,0.08450735450318705,0.42060077103943727
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score_log,93,-0.08376624538719474,0.4247014279283929
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGP,148,0.08661752672707969,0.29520022111661876
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN,148,-0.06330676764035639,0.44463063506206474
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN_log,148,-0.08853303704145313,0.28460970918003753
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.02021742078906657,0.8474661158761195
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score,93,0.28120447388720604,0.0063240101491283274
