fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,82,0.1225282517042177,0.2727965218960465,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,130,0.10026591661438897,0.25636320315568867,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.05952623352172843,0.5011093118620782,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.06558150075995567,0.45849891173248103,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,82,0.0018205763005536835,0.9870485589764578,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,82,-0.0005222556120646343,0.996284566473355,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,82,0.0736139964739618,0.5110124226090239,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,130,-0.06366583044368146,0.47175790846371923,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.16702208191341722,0.05752291021599212,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.17490574674992104,0.04655329625834441,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,82,0.0959048380116557,0.39138917269101586,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,82,-0.08031771993295951,0.4731875534575539,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,82,0.03626514775936136,0.7463470384303109,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,130,-0.0799936009607259,0.36561938010954864,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.13516307072236458,0.12521257261294483,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.12326740494541544,0.16234586747932106,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,82,-0.0016977481726002837,0.987922281066149,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,82,0.03211227266837406,0.7745727775940001,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,82,0.07900320167221456,0.48048328924362627,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,130,0.08670809830109508,0.32662971375177885,sensitivity
