persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
pos_persist_crossrun_mean_z_L,NA_score_log,C5SER,94,10,-0.8055247441968816,0.9161099867378906,-0.8792882468896732,0.3792450068464098,-1.232181126042396,0.382943970166023,0.1914719850830115,0.043584550357294354,0.2104599225071373,1.9501035566702197e-10,-168.01470671481644,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGP,C5SER,152,10,-0.5619726552362914,0.3492803849067962,-1.6089442165103292,0.10762853985643722,-0.4842396423410502,0.2800119531825932,0.1400059765912966,0.017616133580947164,0.16040514907712622,0.05087574403476177,-149.9027667942642,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN,C5SER,152,10,0.01459621214045022,0.244603575577739,0.05967293039758246,0.9524161317169231,-0.3317210117916969,0.26770778238901993,0.13385389119450997,-0.003382120943913578,0.6972985141307981,1.780381453835461e-11,-93.2074397840405,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,152,10,0.004615483054053091,0.1087998814068569,0.04242176548698158,0.9661624776159712,-0.18716754886768966,0.16340308508782941,0.08170154254391471,-0.0017393291690126682,0.6538315405109687,3.686972840507187e-12,19.799194110424423,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,PA_score,C5SER,94,10,-0.4524149221387566,0.3109394452624193,-1.4549936620519093,0.14567101612454852,0.5534791213684042,0.29366672082953116,0.14683336041476558,0.056661353024703646,0.1775711463369981,0.3268465912634436,-97.40510860036429,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score,C5SER,94,10,-0.1372224493070576,0.09948643274660234,-1.379308168145611,0.16779975918738377,-0.25293787446747984,0.12997670919822682,0.06498835459911341,0.019488076473198505,0.1473596579593374,0.028184549118041014,0.7009319886288949,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score_log,C5SER,94,10,-0.8978394829958548,0.7349791887779685,-1.2215849056742274,0.22186463958352654,-1.3253777177144483,0.3226383626022761,0.16131918130113804,0.13652083275758226,0.1703627786825609,1.9496825656831935e-10,-167.8513032240907,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGP,C5SER,152,10,-1.1803012512754603,0.27879561447822204,-4.233571799486318,2.3000870247162496e-05,-0.7323890982426963,0.08675031474225457,0.043375157371127286,0.16695721809815792,2.899349524923845e-05,0.16472414067968932,-142.70003259972623,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN,C5SER,152,10,0.15973375259598754,0.1809861042253531,0.882574677650924,0.37746611515192474,-0.03370182096347102,0.9103686986074021,0.45518434930370105,-0.025359792097495663,0.3264036687878179,0.002310988869988163,-93.79211468768233,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,152,10,0.08362311274712915,0.08137231590680546,1.0276604741457953,0.3041095666927236,-0.03145236894800757,0.8157693902486832,0.4078846951243416,-0.013325180301809007,0.2514208367977524,0.0009245056029813963,18.994531435095723,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,PA_score,C5SER,94,10,-0.504410964385731,0.42651215321464697,-1.182641480632981,0.2369512655832764,-0.09061751669194312,0.8827826612158877,0.44139133060794383,0.04255081926748175,0.27699741594071436,0.3445284367003756,-99.37966933917116,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score,C5SER,94,10,-0.1264064526121189,0.1343697151210958,-0.9407361807547163,0.3468400728768791,-0.12206673146219489,0.5295921118605114,0.2647960559302557,0.012522920570364146,0.31114842343201465,0.029665516727350596,0.19920426088947352,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,94,10,-1.2994801546696888,0.9652930190814678,-1.346202789186458,0.17823712581224527,-2.058079110744627,0.2259530314037851,0.11297651570189254,0.13447116755192645,0.13048804209234346,8.024136552175407e-10,-167.07014214697267,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,152,10,-1.3644763441837793,0.3537648937235936,-3.8570145551239543,0.00011478033010843677,-1.1015642586476195,0.04502405499101409,0.022512027495507046,0.12538523519250563,0.00014050384185355694,0.09464241614412777,-143.90145599570525,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,152,10,0.17231773118003352,0.257030100557218,0.6704184871984421,0.5025910527706895,-0.3817337122259812,0.3264464377847679,0.16322321889238395,-0.018389147781240102,0.4416616485277407,0.001961941320321145,-92.50998413701137,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,152,10,0.09212567160202047,0.11442873416403508,0.8050921149748727,0.42076652561528527,-0.22004974371304595,0.20770044085058204,0.10385022042529102,-0.009850092155600404,0.3546459122614709,0.0010744536526507897,20.6815383753991,True,powell,sensitivity
neg_persist_concat_z_L,PA_score,C5SER,95,10,0.1595265607632115,0.16588587135684205,0.961664543570737,0.3362181383665267,-0.03624801531576667,0.8794385028681563,0.43971925143407814,-0.03761739104436701,0.30618532495963224,0.35390909624976974,-103.1343463635352,True,lbfgs,sensitivity
