persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,p_persistence_one_tailed,group_var,log_likelihood,converged,optimizer,tier
neg_persist_concat_z_L,C5SPGP,150,8,-0.17086418975134318,0.15626620422948945,-1.0934174192931405,0.2742105688267652,0.1371052844133826,0.057039843982705694,-143.79422262768776,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGN,150,8,-0.05997510480539997,0.11373755366652338,-0.5273113661407381,0.5979773824863039,0.29898869124315197,1.7258803311758758e-11,-88.05717608285306,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGN_log,150,8,-0.032055196701242426,0.05027897388171578,-0.6375467561580342,0.5237687645029505,0.26188438225147526,3.5284712449783546e-12,24.605376211994326,True,powell,sensitivity
neg_persist_concat_z_R,PA_score,95,8,0.03410461528701143,0.17881921509190865,0.19072120000908463,0.8487440283577415,0.42437201417887077,0.33635538268781207,-99.31449017195513,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score,95,8,0.06361726141161311,0.05318663520764171,1.196113669594815,0.23165220392953945,0.11582610196476972,0.03001610293885638,6.032315996746064,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score_log,95,8,0.5386579626652871,0.5018177047077271,1.0734136273231267,0.2830855729568631,0.14154278647843155,1.9705945808029465e-10,-169.74263729390842,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGP,150,8,0.09326290053522193,0.173464183371298,0.5376493217368903,0.5908191726265946,0.2954095863132973,0.060452558915838894,-144.14252198210227,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN,150,8,0.12560956712947,0.11977186583636362,1.0487401715949056,0.2942977199732789,0.14714885998663946,1.7527186384217246e-11,-87.55156023618662,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN_log,150,8,0.04949626773380163,0.053941782307051996,0.9175868059393137,0.35883522801395895,0.17941761400697948,4.7586062297199006e-12,24.913328566222503,True,powell,sensitivity
neg_persist_concat_z_bilateral,PA_score,95,8,-0.10194179722152699,0.19503700408437258,-0.5226792613027792,0.6011974725635283,0.30059873628176415,0.3378627406005925,-99.0946477887959,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score,95,8,0.07369386357351898,0.059126102890590185,1.2463845910812976,0.21262323551128282,0.10631161775564141,0.02929576640252475,6.213947420722121,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score_log,95,8,0.517458713011555,0.5801457077016252,0.8919461199869624,0.3724218127112866,0.1862109063556433,0.0013225692960037916,-169.7761665716246,True,powell,sensitivity
neg_persist_concat_z_bilateral,C5SPGP,150,8,-0.07566531578624604,0.1873657571441815,-0.4038374831107487,0.6863322310110044,0.3431661155055022,0.05855112106528682,-144.1307638300957,True,powell,sensitivity
neg_persist_concat_z_bilateral,C5SPGN,150,8,0.04049292344543958,0.13007591234082808,0.3113022443335937,0.7555708612659474,0.3777854306329737,1.7805618742780578e-11,-87.98308558221942,True,powell,sensitivity
