fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,148,0.03067628403411901,0.06783214377210589,0.45223816214892787,0.6520577306322078,0.24746715734288127,-0.08453262618231805,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,PA_score,93,0.11840569965556436,0.29750986383315065,0.3979891561577555,0.6919836537165018,0.3278562412057672,0.018456733189374352,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score,93,-0.09937690895982887,0.09240872726925052,-1.0754060995805648,0.28629428376663746,0.5354606769630421,0.32162511556507745,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score_log,93,-0.6432154663724733,0.6417975151098139,-1.0022093436469863,0.3200764401848401,0.3999020302548436,0.12366645688008915,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGP,148,-0.14888973554249843,0.201431165872204,-0.7391593793234561,0.4615078496055186,0.3503977212879491,0.06380848067969136,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN,148,-0.11479816733665998,0.14971998992723654,-0.7667524382846376,0.44499975647604906,0.20428766763469153,-0.14676189076176804,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.05397687288668428,0.06596171224957488,-0.8183061210184421,0.41509002782062987,0.2508762201868543,-0.0796195650248277,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,PA_score,93,0.3355973132765613,0.3467851728267114,0.9677383566922548,0.33687558411635987,0.3360363857101608,0.0304023410370603,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score,93,0.02645343818181892,0.10931490568340484,0.24199296533660947,0.809571617976072,0.5273723980120495,0.3098136605890247,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score_log,93,-0.7923805617409767,0.7520695170679396,-1.053600157642602,0.29609019071557585,0.40089095728979274,0.12511060429620535,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGP,148,0.2728574648638133,0.23296002449027742,1.1712630330496938,0.24422192920963323,0.35558527449550525,0.07128466030234581,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN,148,-0.08151663008372156,0.17416372355046322,-0.46804597663590064,0.6407502846512905,0.20141645830200694,-0.15089981009416653,sensitivity
