fc_var,condition,seed_target,affect_var,n,r,p
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,82,-0.1870050737754894,0.09251421967023522
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,130,0.07762411719913778,0.38003674351654365
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,130,-0.09018045364636304,0.3075551782509761
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.11216952134006605,0.2038741466505259
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,82,0.07957341407473062,0.47731117782965093
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,82,-0.04732130822895207,0.6729003380092703
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,82,0.00044837863488794705,0.9968101394658593
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,130,0.06940621905478737,0.43265500357164566
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,130,-0.08299314387807323,0.3478596547954712
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.08133165984027577,0.3576289662802298
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,82,-0.015070339231129763,0.8931018666101785
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,82,0.18015619409315753,0.10531378765069717
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,82,0.20590902812458806,0.06346755569823344
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,130,0.07768103631537097,0.3796864165796755
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,130,0.034784564812161564,0.6943981325842851
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,130,0.05277375442590611,0.5509630198790161
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,82,-0.01039299629317738,0.9261655261248376
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,82,-0.10417673111331191,0.3516386144984378
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,82,-0.09256494269025911,0.40816853291858246
