persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
pos_persist_crossrun_mean_z_R,NA_score,83,7,-0.12812324773859116,0.12665796599202087,-1.011568808444805,0.31174426593521465,0.010706990277517333,18.27192348461844,True,powell
pos_persist_crossrun_mean_z_R,NA_score_log,83,7,-0.2614847235145845,1.1648516201608743,-0.2244789971434058,0.8223846077848785,2.0346192705877022e-10,-150.3780897896261,True,powell
pos_persist_crossrun_mean_z_R,C5SPGP,83,7,0.06905205252185016,0.5490953275495473,0.1257560373533124,0.8999250425237717,0.2977208485716367,-85.3140853111789,True,lbfgs
pos_persist_crossrun_mean_z_R,C5SPGN,83,7,-0.3204123929378617,0.2446904982055704,-1.309459890300585,0.19037861584885363,0.07690738204420683,-34.22003229917985,True,lbfgs
pos_persist_crossrun_mean_z_R,C5SPGN_log,83,7,-0.20520228292613804,0.11883636305463344,-1.7267634051691654,0.0842101632019062,0.01584450456316273,21.231535324574054,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,PA_score,83,7,-0.18801984852791764,0.596468170225718,-0.3152219312168265,0.7525931550555219,0.38976996861632157,-85.97937615193106,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,NA_score,83,7,-0.04475187612042001,0.16135742434126588,-0.27734624733331886,0.7815142515491189,0.011964348907026705,18.04762404835749,True,powell
pos_persist_crossrun_mean_z_bilateral,NA_score_log,83,7,-0.8561820593637819,1.5660815753338464,-0.5467033600604534,0.584582545415429,2.0259002078183484e-10,-149.96998358801395,True,powell
pos_persist_crossrun_mean_z_bilateral,C5SPGP,83,7,-0.9640835902897297,0.6591234174768428,-1.462675372664333,0.14355622805264176,0.36858472135338616,-84.28169521657074,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,C5SPGN,83,7,-0.30124139243450027,0.34222754202951045,-0.8802371388581112,0.3787308582118969,0.07386209832826016,-34.47908042654706,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,83,7,-0.23962801110070656,0.16799778495701828,-1.4263760153862424,0.15375983311288663,0.013806055256409289,21.02045682454478,True,lbfgs
neg_persist_concat_z_L,PA_score,84,7,-0.26828446748515916,0.19233769883423793,-1.3948615851766757,0.16305758323329556,0.3509324290558191,-88.25688769069012,True,lbfgs
neg_persist_concat_z_L,NA_score,84,7,0.07296843485824431,0.057821908708533036,1.2619513345030071,0.2069662983999443,0.012675847288016486,18.170000029082473,True,lbfgs
neg_persist_concat_z_L,NA_score_log,84,7,0.2829012925937499,0.5652120835522297,0.5005223717366045,0.6167073075466623,2.1269186875625265e-10,-153.85392447256663,True,powell
neg_persist_concat_z_L,C5SPGP,84,7,-0.3287549357107197,0.20845923164301922,-1.5770706488725028,0.11477926991366305,0.2770523572505636,-86.81209318270507,True,lbfgs
