fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,93,-0.038704219317482434,0.71261977556041,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,93,0.020130152898385018,0.848116627648895,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,148,-0.06424280462273209,0.4379128405063913,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,148,-0.11186274839455072,0.17586954836132168,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.0944269810442761,0.2536343289579468,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,93,0.09959565203251944,0.34219358445526593,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,93,-0.15601009492739254,0.13535373676928372,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,93,-0.1734418527004031,0.09638900566309047,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,148,0.07975231047500148,0.3352775877857899,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,148,-0.08866263929939408,0.2839024688940278,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.10504936667306347,0.20384833566014424,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,93,-0.014470039509625176,0.890506049366507,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,93,0.27035101899588415,0.008769611632160399,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,93,0.10934481087987463,0.296784425914463,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,148,0.0220084592875383,0.7906193538546638,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,148,0.004139175842739526,0.9601793660890648,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,148,0.00580343578913535,0.9441906343341762,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,93,-0.10888402595381101,0.29883695568365487,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,93,0.3646490127035817,0.000326199046483197,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,93,0.27943054684264745,0.006676906668420163,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,148,0.09589984837427289,0.24627103938604783,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,148,0.049751993914792195,0.5481735791213632,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,148,0.05900239041381336,0.4762605604987324,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,93,0.01151505083778688,0.9127671680237743,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,93,-0.09219746982569331,0.3794179711071465,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,93,-0.09775549721996854,0.35123056549248854,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,148,0.1288285615690937,0.11864451437444933,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,148,-0.16193831539697418,0.04925711203134662,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.14247199536231242,0.08410058226682907,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,93,-0.26609584960254684,0.00993486416928081,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,93,0.38268412753785497,0.00015325898611324328,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,93,0.26700090644931757,0.009676250508401704,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,148,0.09724438647634469,0.23967995060828653,sensitivity
