fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,-0.007097261159758724,0.10412745422115008,-0.06815936500939776,0.9456587737358468,-0.08345542673108955,0.5946120353240076,-0.0010676002467066117,0.9691413195999216,6.933108741261807e-10,-82.25816417875689,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,0.000259032204445309,0.04527111889953825,0.0057217981517119305,0.9954346905053237,-0.038040310458502084,0.5839301379446207,-0.001659769900215366,0.8899723778351099,3.4757256800838154e-12,15.449402049148489,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.020264908305214033,0.13302769937387132,-0.15233600521241797,0.878921928247516,-0.11611989912044883,0.7075479519829291,0.0051158889368649475,0.9212991243965998,0.39753859001075414,-91.25903633466288,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.05224219963866628,0.035147493277226466,-1.486370570629462,0.13718112963349327,-0.0433208136569844,0.575427280167326,0.02068530081741067,0.12992732563413453,0.014451543164001296,9.559849399613952,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,-0.27365385521313584,0.32436403637558586,-0.8436627508737375,0.3988578880459137,0.07088751273204072,0.9170556989091798,0.11825623911305441,0.3478882732718357,2.0821175209060513e-10,-152.1872226070745,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.36697062905509004,0.10426898021518267,-3.519461188723271,0.0004324242992510552,-0.34258083491879027,0.07112018118697638,0.14959905783763972,0.0005046060429024651,0.09393777953187021,-123.15113592380982,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,0.03870325199077414,0.07129089621028266,0.5428919265738136,0.5872042149643093,-0.18256270147751982,0.16930522175427754,-0.01803708683208046,0.5388613516998288,3.3027952404368045e-11,-81.18346173651065,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,0.02430209905408867,0.03151101534896751,0.7712255154255114,0.44057327286266723,-0.07935636674954875,0.17617682054534844,-0.011201300105270474,0.3879500031057893,1.415787355681557e-09,16.7284574309993,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.06160221907727109,0.10049194748022175,-0.6130065206408234,0.5398720281830807,0.09847499970095384,0.5865599487723363,0.03247556121602716,0.5859101846178587,0.3885443584627691,-91.37537350692003,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.058006485734686954,0.0280102894920169,-2.0708991869298297,0.038368218180171,-0.08571817561918028,0.12702236407193324,0.035272649357127255,0.034261822848802984,0.016000190033351513,10.450773803693338,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,-0.49412182819219785,0.2601025743656385,-1.8997190988874544,0.057469992581154816,-0.24459752220532496,0.6753316941373426,0.30662547258153483,0.04795880664991806,3.597300100997483e-07,-151.2415004980411,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.15390436646806566,0.08685130169539952,-1.7720444422103336,0.07638718022413893,-0.20004048458579007,0.3132607554975112,0.09112393145677228,0.07738624370361191,0.04448092457034501,-127.6328628266163,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,-0.0071356816810992495,0.05889052645176774,-0.12116858365909641,0.9035575073459532,-0.18864184393079428,0.16474077462088366,0.002038043769391494,0.9535347417153521,1.7472731706477948e-11,-81.9090010512885,True,False,powell,sensitivity
