fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,130,8,-0.13054077718752324,0.04865072917771806,-2.6832234458535242,0.0072916254305284145,4.302292557413189e-08,25.825109530202326,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,82,7,0.013025758047046943,0.2192807476082451,0.059402196449631066,0.9526317636369959,0.38909613788834,-86.30467934629286,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,82,7,0.0015397293963332723,0.0597019170002724,0.025790284025992784,0.9794246114969194,0.013102506623843713,16.132667301889782,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,82,7,0.7748204997867412,0.5386912910372513,1.438338641589736,0.15033799294780836,2.0035971817572382e-10,-148.7993322160787,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,130,8,0.07564617305992309,0.18370441625472322,0.41178200612789106,0.6804992113198298,0.035814573280813965,-123.81307150873607,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,130,8,-0.2710390486476134,0.1289417933797059,-2.1020263604482494,0.03555096673687963,0.0016696973788129473,-74.42668808346872,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.11781877682878589,0.05586356937273431,-2.10904491337946,0.03494070504051394,3.5265203838871675e-12,24.648125799930455,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,82,7,-0.16271104161741662,0.19682560166714005,-0.8266762059367867,0.40842061122742246,0.3855680188096053,-86.0697604911249,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,82,7,0.04200856567959635,0.055697978867041344,0.7542206473932657,0.4507167415210025,0.012894587721184632,16.35991082618503,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,82,7,0.4834891363764547,0.5075524300369354,0.9525895410278509,0.3407980785251101,2.0358976754732186e-10,-149.46089882877777,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,130,8,0.18499761809931425,0.17513176144907688,1.056333908644584,0.29081568936694335,0.023755612729143654,-123.39262147917623,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,130,8,-0.08371031043786271,0.12172253289152647,-0.6877141680288685,0.4916327961710527,8.514011669290199e-10,-76.61441356300674,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.04231004983731156,0.05308662211260857,-0.7970002263011293,0.42545089989074736,3.4418011910269293e-12,22.616921729192597,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,82,7,-0.09436132106183183,0.21201224587951267,-0.4450748619278233,0.65626565462514,0.3899352656943519,-86.23989390422446,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,82,7,0.03317959405504096,0.059521717011882545,0.5574367763688199,0.5772290444292756,0.01439534087896223,16.253882323905714,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,82,7,0.4963969443904826,0.5166344166457,0.9608282537841533,0.3366385299057857,2.0429967055863502e-10,-149.43560190622287,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,130,8,-0.10235305460338881,0.1847847878914639,-0.5539041160872366,0.5796444680245165,0.02374266973800803,-123.7611410023689,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,130,8,-0.2169701300399937,0.12171386260100003,-1.782624636203198,0.07464742670624824,1.8929231336842807e-11,-75.25012822469142,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.10056063873301854,0.053838226793544976,-1.8678296950351163,0.06178581294816832,3.362071942546461e-12,24.05329623649567,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,82,7,0.12331628435533279,0.16857330601906287,0.7315291327405523,0.46445601669513303,0.3809559488872394,-86.313660758862,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,82,7,-0.03961894402152133,0.055106084216056804,-0.7189577083028731,0.4721669779254727,0.012895218549075457,16.322920969845157,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,82,7,0.24624213008458357,0.5425314903443048,0.453876197911225,0.6499179360296687,5.409095914943795e-10,-149.75447877204118,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,130,8,-0.14141840882396162,0.1938969845068667,-0.7293481597128881,0.4657887199036608,0.025531769743971835,-123.58624439197348,True,False,powell,sensitivity
