persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
pos_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,131,10,-1.2622468098352324,0.3936740992836445,-3.2063242467109228,0.00134442403537791,-1.3941835752369063,0.026239251138218105,0.013119625569109053,0.11101075424006215,0.0015838936557663254,0.05065764311418439,-122.94614205253754,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,131,10,0.14449232133053047,0.2758352103048529,0.5238356668491946,0.6003928436240171,-0.3209609144536564,0.47774490099131117,0.23887245049565559,-0.01551763681278616,0.5287155356762336,1.7177083167455276e-11,-79.60370452974007,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,131,10,0.08320910453918025,0.1216235913546405,0.6841526681822114,0.4938787668509228,-0.1904389454602198,0.3359336385262778,0.1679668192631389,-0.008823527754538346,0.4165260755589063,3.361904391976497e-12,19.400459595449718,True,powell,sensitivity
neg_persist_concat_z_L,PA_score,C5SER,84,9,0.15946679915571854,0.1835317894364108,0.8688783542372087,0.38491367016857403,-0.09262445593757897,0.7376973390095538,0.3688486695047769,-0.033500005200647,0.34808596852783136,0.356605684203915,-92.57621813006017,True,lbfgs,sensitivity
neg_persist_concat_z_L,NA_score,C5SER,84,9,-0.06302951331591834,0.048119477067332765,-1.3098544946305675,0.1902450638057671,-0.0003987350918724855,0.9959748420158946,0.4979874210079473,0.012638320236187313,0.17749159359966526,0.014243732221113319,11.51735579877814,True,lbfgs,sensitivity
neg_persist_concat_z_L,NA_score_log,C5SER,84,9,-0.4389438084640575,0.4514441308229289,-0.9723103668751109,0.3308961679774669,-0.24954038197628375,0.7458690518326596,0.3729345259163298,0.09783814932127177,0.26543439416140535,2.128336773075222e-10,-156.10567401899732,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGP,C5SER,132,10,0.06122488143755316,0.13780615532597895,0.44428263231585247,0.6568382562877106,-0.15857245603330586,0.40598223779515685,0.20299111889757843,-0.010896514994209048,0.674460581595264,0.06778362214551192,-130.13784933810126,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGN,C5SER,132,10,-0.02798594259078126,0.08397143930593658,-0.3332793009396794,0.7389234625690005,-0.0664654973716858,,,0.0020136087802198055,0.8972696913969216,1.7478588316813402e-11,-82.96462984490717,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGN_log,C5SER,132,10,-0.008160398241940156,0.04153630763504675,-0.19646421905481853,0.8442468359430292,-0.03034963078235673,0.6349490081988185,0.31747450409940925,-0.0001965411449342208,0.9799985359822745,3.704123586578313e-12,16.007637263345686,True,powell,sensitivity
neg_persist_concat_z_R,PA_score,C5SER,84,9,0.18522552509836934,0.31265811081531614,0.5924219417028976,0.5535680769993976,0.07915398668062301,0.8379299394097636,0.4189649697048818,0.0014597449078943513,0.8967366744174438,0.38466898002932054,-93.07290250249093,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score,C5SER,84,9,0.08457173465642293,0.07020522695289742,1.2046358701064293,0.22834390290810624,0.18558171497512493,0.05984362159489645,0.029921810797448226,0.002982591159357781,0.24577050707007697,0.015579659688391128,12.189070070470848,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score_log,C5SER,84,9,-0.13162970969449073,0.6479063012822004,-0.20316164456804447,0.8390086908282667,0.5300727770632788,0.5730214741786843,0.28651073708934216,0.010506629829825469,0.6556883799677767,2.1025328866276348e-10,-155.57713209366761,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGP,C5SER,132,10,-0.15243092466995087,0.20972972301562856,-0.7267969579046842,0.46735034692469113,-0.062236998957521564,0.7979142405817488,0.3989571202908744,-0.0023715613649002544,0.7451832245849125,0.07143592405410037,-130.10968545811642,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN,C5SER,132,10,0.028725809602671643,0.1390977121212825,0.20651532771168046,0.8363883930073088,0.16008240264930465,0.2629694783816968,0.1314847391908484,-0.0028538124344871726,0.5577487647166969,1.7304265212430435e-11,-81.93475832175977,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN_log,C5SER,132,10,0.01917483328770251,0.06339982192791224,0.30244301489529335,0.7623143679533663,0.07022410013295388,0.37349285134294286,0.18674642567147143,-0.0014990575642749033,0.4921126463075335,2.862550593797117e-11,16.959202630791026,True,powell,sensitivity
neg_persist_concat_z_bilateral,PA_score,C5SER,84,9,0.3597591361129447,0.26975069813828784,1.333672678498552,0.18231115258043473,0.1162401911328302,0.7364692636025953,0.3682346318012977,-0.044797454913984146,0.16173988549214913,0.37011431114300974,-91.82203387138418,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score,C5SER,84,9,-0.07565839173529329,0.07376739650083103,-1.0256345665451398,0.30506386772397553,0.026970776162030682,0.7864030637445942,0.3932015318722971,0.009351928875376933,0.28556037909519116,0.015314722776703524,12.34088949660891,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score_log,C5SER,84,9,-1.1098476313361934,0.7001160081485869,-1.5852339018373771,0.11291320051917633,-0.4673755542846036,0.6351374268533787,0.31756871342668935,0.14243174107440673,0.08587676265856138,9.110740534470315e-07,-154.27388626464187,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,C5SPGP,C5SER,132,10,-0.044598615615019106,0.19736504392674356,-0.22597018564023363,0.821224609006493,-0.18156804826848344,0.4657037471860572,0.2328518735930286,0.005600438800488083,0.8264701243727185,0.061561324860966674,-130.1243560531911,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,C5SPGN,C5SER,132,10,-0.0008641951668313467,0.13387692869177267,-0.006455146344304023,0.994849574162957,0.06369686616590126,0.7216949400440029,0.36084747002200146,-0.0032186738063306984,0.852979877718339,3.278207737941796e-11,-82.40400810966969,True,powell,sensitivity
