fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.15300264657623816,0.0661978442575465,-2.311293491385801,0.023266361289820972,0.301993215193885,-0.0719389909522481,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,82,-0.5140431110488441,0.26075841132794336,-1.9713385598225506,0.05391593057265049,0.39033717936943113,0.0682511609230928,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,82,0.04402628158407054,0.06825676071457838,0.6450098294023986,0.5217032188484383,0.32632205883676046,-0.029583268570233967,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,82,0.5096712134393093,0.6076269733698662,0.8387896452534036,0.4053546841600987,0.3680277513384743,0.034155619970121065,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,130,0.005025843753651116,0.20405622230848058,0.02462970105392489,0.9804087448894543,0.37439631718535393,0.039251487106079175,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.08266062937248464,0.1550410588656096,-0.5331531529601801,0.5953353813339441,0.20382925201614632,-0.22269079154663252,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.0439025971906592,0.06668963059452504,-0.6583121963531079,0.5121378282956506,0.261413198580561,-0.1342583021798529,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,82,-0.21482605441105412,0.2713193631366687,-0.7917829819718476,0.4320167587011319,0.35328401939015586,0.011622746615143842,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,82,-0.006259621646677437,0.06922143440899228,-0.0904289502250516,0.92828724477162,0.32113858544501306,-0.037505180734980215,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,82,0.664807392324491,0.6111335736112878,1.0878266569385737,0.28159391555235824,0.37362392453918036,0.042708262031577515,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,130,-0.10545845453639002,0.20450357542964145,-0.5156802482051104,0.6074323945529208,0.3763660914654272,0.04227649760762031,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.215585638261291,0.1541043705073389,-1.398958624934159,0.16550702117829857,0.21932373577205178,-0.19889569149292052,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.09807377409690628,0.06625520158484442,-1.480242633800094,0.14254952598078308,0.276475609106811,-0.11112674315739746,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,82,0.3866996389760077,0.2681357559131394,1.4421785623446512,0.15513562314554963,0.37034381758169543,0.037695268379572155,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,82,-0.06412528964411582,0.0687733169509952,-0.9324152518310065,0.35535027883259684,0.3319916781965496,-0.020918378605273347,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,82,0.020030712361581965,0.6188792368436405,0.032366108230970934,0.9743016726953917,0.3596510591209544,0.021353505449005716,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,130,0.005740736406065983,0.22352954975019934,0.025682225962882402,0.9795717152048069,0.3743967115699419,0.039252092768125024,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.314698156009135,0.16662287372770238,-1.8886852025095875,0.06238527910138541,0.23367758187689835,-0.17685228497476335,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.12341701174750778,0.07199360754009297,-1.7142773638448012,0.09016548974333102,0.28269754771444966,-0.10157162315280943,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,82,0.06283524327876194,0.24853377100254925,0.2528237632467156,0.8013824345293554,0.3464224573423892,0.0011362083911985454,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,82,-0.01057088401038005,0.0630625983153374,-0.16762525320510166,0.8675160833752569,0.3213936103017728,-0.03711542576521509,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,82,-0.10350481303736098,0.5628667029634221,-0.18388867647068338,0.8548025427843505,0.3600467052070154,0.021958172108834884,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,130,0.0943702601606155,0.18498577790170875,0.5101487326812695,0.6112851740363181,0.37632409371113695,0.04221200105638878,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.10794834937687153,0.1405136765314101,-0.7682408719320715,0.44449851279257935,0.20670880415496007,-0.21826862219059717,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.04073573372965979,0.06054346372453005,-0.6728345427180296,0.5028993752862214,0.26158226240713334,-0.13399866844618824,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,82,-0.09460100995562433,0.24336950159354628,-0.3887134967043585,0.6990453335135247,0.34749445394924294,0.0027745428280882,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,82,-0.04402738328447343,0.061522786700249646,-0.7156272601724456,0.4773625907505993,0.32753169390545545,-0.027734581012417214,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,82,0.24171280074668944,0.5507996607480414,0.4388397778212483,0.6625614701141648,0.3619567907778388,0.02487735949065928,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,130,-0.09764179710030974,0.19989490001739849,-0.48846567417083264,0.6264928164630209,0.37616378164851083,0.041965807531641586,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,130,-0.3469730026111691,0.14757283011396474,-2.351198403820103,0.021055038952916317,0.2504629189077713,-0.1510748031059228,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,130,-0.1564907580565898,0.06332925162583375,-2.471065961448262,0.01549181913998422,0.30791222818742947,-0.06284907814073337,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,82,-0.2279100249370457,0.2956671984949426,-0.7708329706412939,0.4442287914725881,0.35288898723339934,0.01101901822462914,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,82,-0.08182045820761247,0.07457391977889563,-1.0971725564406714,0.27752596946043234,0.33611269857044046,-0.014620215392345814,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,82,-0.04543284737314868,0.6731351924836082,-0.067494387279796,0.9464421127258096,0.3596934384512559,0.021418273859466486,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,130,-0.25468797847299096,0.21952376791199732,-1.1601840697955323,0.24926075725283095,0.38425852190145215,0.054397015777229996,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,130,-0.09103585588368251,0.1681147184810978,-0.5415103252480433,0.5895892904724367,0.20391408121181853,-0.22256051813899314,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.061146717071212775,0.07219570915879744,-0.8469577733036467,0.399425266388582,0.26388885441479093,-0.130456402148714,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,82,-0.32288374665794617,0.23600162075935271,-1.3681420730037521,0.17704019917434952,0.36795624900859225,0.03404634282445229,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,82,0.022079207481837886,0.060834858485210155,0.3629367772295495,0.7180955923137414,0.3227171228992459,-0.03509269896530354,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,82,1.00542947756319,0.5258533495280125,1.911995955651187,0.06128896915501008,0.4009579339698992,0.08448288021814776,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,130,-0.24722465812172778,0.1803999576498544,-1.3704252558727101,0.17420547751755985,0.3880732102221801,0.06025528712691941,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,130,-0.1085520191416248,0.13831855480159924,-0.7847972334393543,0.43478023662390686,0.2069498655326546,-0.21789842078913768,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.039779187496193545,0.059609306207110545,-0.6673318316771225,0.5063893668801347,0.2615177769327942,-0.1340976997103518,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,82,0.0835594386114864,0.2909563674952754,0.2871888982214601,0.7750875528672039,0.34665094772967875,0.001485410681207111,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,82,0.015630347988460552,0.07382811361323971,0.2117126826555885,0.8331432338629513,0.32160756212929575,-0.03678844278352922,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,82,0.3886106579818488,0.6571040928302581,0.5913989308878556,0.5567672756566797,0.3638365135927891,0.027750143415394612,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,130,0.13611871815813315,0.2213804599556887,0.6148632909398533,0.5403070769235054,0.3771948440977648,0.043549224864424474,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,130,-0.3347421066443782,0.1648693779221446,-2.0303473626403306,0.045485041932848955,0.23850548322965592,-0.1694380078973141,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.13077688997114645,0.07128669534108938,-1.834520303478946,0.07011714672196556,0.286201057607674,-0.09619123295964349,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,82,0.262793723963726,0.2535445861670942,1.0364793346071934,0.30468454526968586,0.3586344504846286,0.019799820551979486,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,82,-0.07372913964636457,0.06416654057062489,-1.1490278109229624,0.25570366772935804,0.33753625191597136,-0.012444596128421193,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,82,-0.8766902167660462,0.5671980986318206,-1.5456508385355554,0.1281396622315624,0.3872584394076414,0.06354591683054622,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,130,0.16881321239313934,0.1829357284860605,0.922800667700092,0.35875415861451876,0.38067033537881223,0.04888658647460442,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,130,-0.1824194114271508,0.13850946257890132,-1.3170176826239317,0.19141428787518622,0.21729725677624434,-0.20200778423648202,sensitivity
