fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,93,8,-0.04263699622271808,0.05858277265084861,-0.7278077546249504,0.46673127689528937,0.02824031626599148,4.48918908151839,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,93,8,0.17820728436099334,0.5049738819959688,0.3529039633824388,0.7241604394213548,1.9735736421666436e-10,-165.984400954871,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,148,8,-0.1085269770048075,0.1896806811625081,-0.5721561960852907,0.5672161605144037,0.02674749818796643,-142.29638355537747,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,148,8,-0.19336229875321212,0.12564272161360082,-1.5389852772202337,0.12380789056693997,0.012293461382424554,-86.47870385087987,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,148,8,-0.07715712089550522,0.05675095859597422,-1.359573878651251,0.17396480889308652,0.0021580806951486294,24.553824518628176,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,93,8,-0.013547107420317022,0.17206722694738943,-0.07873147990267275,0.9372462058485023,0.3734657873861474,-96.80716732094987,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,93,8,0.013562468989004732,0.060523722158844176,0.22408517693954952,0.8226910263060385,0.027564398404762866,4.194677098473562,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,93,8,0.31693997842459953,0.46173155433318247,0.6864161122414816,0.49245074700756497,1.9487443840655145e-10,-165.91495535249513,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,148,8,0.17679184179936505,0.1620809748772237,1.0907624533557059,0.2753774217486904,0.02886798346356376,-142.00180619977323,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,148,8,-0.007883678946142395,0.11200612491649188,-0.07038614140092972,0.9438863214501083,1.2126290298071887e-09,-87.77340662439497,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,148,8,6.333343811336961e-05,0.050178348704847754,0.0012621666465331678,0.998992936986957,0.0006626797877213854,23.504967653256756,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,93,8,-0.11705578218198753,0.19467982757694227,-0.6012732990310679,0.5476579706711187,0.38429480206586125,-96.50950744212273,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,93,8,-0.035917665797442176,0.06079161345992094,-0.5908325795814284,0.5546326033142648,0.02803315516850562,4.430773180194194,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,93,8,0.17217298647474202,0.4591720174244053,0.3749640220684557,0.7076872239892709,1.9600706083383136e-10,-166.06585844659574,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,148,8,-0.10693836651479863,0.16777435932995965,-0.6373939792819255,0.5238682491113584,0.03216420618342735,-142.35908437951133,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,148,8,-0.22172451223980882,0.11207495377451797,-1.9783591674362255,0.04788820268424643,0.008283247788974516,-85.81819248456344,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,148,8,-0.10153044061655477,0.05055436978120056,-2.008341535182394,0.04460701102305653,0.0018851788872195057,25.522657382840634,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,93,8,0.22323546463193825,0.21275908876030028,1.049240556221036,0.294067417093417,0.38201558070595293,-96.0265043350025,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,93,8,-0.06975125298537577,0.0679158258108749,-1.0270250291826235,0.3044086785375737,0.0277379511203676,4.897748686224645,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,93,8,-0.08770362879886653,0.5037672981305197,-0.17409551815755941,0.8617903954070945,1.9671105082417674e-10,-166.03414419135717,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,148,8,0.08284537803804906,0.1777275176353459,0.4661370346038808,0.6411174157754607,0.03705263886738163,-142.39324207268635,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,148,8,-0.11525641366720832,0.12028734492092676,-0.9581757228324757,0.33797415691526655,1.7378030552130133e-11,-87.22341686043973,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,148,8,-0.06702149123368349,0.054035117417098655,-1.2403321106224798,0.21485258017061915,3.564405063843713e-12,24.36127524071236,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,93,8,-0.08311980964303016,0.18350359193479074,-0.4529601233776795,0.6505774560544257,0.3771602947403497,-96.61477658582513,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,93,8,-0.010320093268291423,0.06710085143596665,-0.1537997364778558,0.8777676416248237,0.027838602617825926,4.240493515325028,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,93,8,0.5251111257670816,0.45281312665720147,1.1596640972924197,0.24618559310874244,0.10295921124938608,-165.48997615173502,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,148,8,-0.1826897792550277,0.15797875811862927,-1.156419897400652,0.24750944676037578,0.020933221382320333,-141.96606857220092,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,148,8,-0.11436436417214965,0.1049650524834035,-1.089547058438639,0.2759127147701568,2.6419115909946485e-10,-87.22458351789453,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,148,8,-0.04503092686504933,0.04750732682190958,-0.9478733045506115,0.343193956628697,0.0008053313157781151,23.91415508056582,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,93,8,-0.33674739971932616,0.18472885734094233,-1.8229279635385438,0.06831430200939104,0.3981351299130507,-95.23952203300374,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,93,8,0.02324169772131072,0.06638095776516144,0.35012597744572777,0.7262441560924182,0.028138658573176146,4.407149839809989,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,93,8,0.33484691676826306,0.5378382830054967,0.6225791791858016,0.533561096922486,2.587061052406873e-05,-165.78635295712738,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,148,8,-0.2090519646701574,0.17980231937550178,-1.1626766851297965,0.24496070451449858,0.029338934308931912,-141.8160712100397,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,148,8,-0.14147968826385196,0.12345881402536713,-1.145966688411425,0.2518089355990685,0.012112838424040656,-87.02696820789191,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,148,8,-0.049764972907804975,0.05577395533706461,-0.892261856041141,0.3722525942624748,0.0021059230862016123,24.00275510243432,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,93,8,-0.016240970310839282,0.1805740243288194,-0.08994078949730337,0.9283342671531261,0.3751895719850487,-96.74907009540402,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,93,8,-0.029591964256158437,0.06296150199838633,-0.47000092623134787,0.6383543558186666,0.029553712050217458,4.335889242479851,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,93,8,-0.39085219590528547,0.47336097208215716,-0.8256958620522873,0.40897664018002655,0.03442634484401743,-165.77212608935625,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,148,8,0.0833217882443001,0.15548042669958384,0.5358988910243525,0.5920284309489401,0.030611689441667568,-142.4998731620379,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,148,8,-0.07573700726716885,0.10519356473748875,-0.7199775714053522,0.4715388050122682,0.002771576930508765,-87.56289405655167,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,148,8,-0.04204935153815906,0.047252564863431254,-0.8898850604129013,0.3735276065944597,0.0011446714577530838,23.853119373595547,True,False,powell,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,93,8,0.3806912331395167,0.2151828556946985,1.769152249190528,0.07686847044806933,0.39086407879673374,-95.12070027346769,True,False,lbfgs,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,93,8,-0.07716008579681831,0.08548152657073402,-0.9026521740106044,0.36671052672271176,0.03094932629835628,4.916668271574309,True,False,lbfgs,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,93,8,0.19503488523218404,0.7800104070704533,0.25004138850492,0.802555341569243,1.2019447837960844e-07,-165.69715543345896,True,False,lbfgs,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,148,8,0.05355341452856411,0.2129679556408861,0.2514623120995147,0.8014566967890773,0.0370351626503701,-142.29121819140988,True,False,powell,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,148,8,-0.001228645826996364,0.14429536914639085,-0.008514797351187865,0.9932062567482942,3.4670733220118586e-10,-87.50598848935817,True,False,powell,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,148,8,0.0036737113933536496,0.06510208177324121,0.056430014114597,0.9549992472367543,0.0006692893128205813,23.77702784542322,True,False,powell,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,93,8,0.11068064358711317,0.24561141189523983,0.45063314743014293,0.6522539721975189,0.38201637939095945,-96.36022104667862,True,False,lbfgs,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,93,8,0.09814702498791826,0.0823547528970051,1.1917590853640636,0.2333557228811176,0.02512893003529846,5.223756217171285,True,False,lbfgs,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,93,8,0.856847201819089,0.6131855929732531,1.3973700811598557,0.16230231132410378,3.960877776037601e-09,-164.83392125610268,True,False,lbfgs,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,148,8,0.3556139730532241,0.2065724966347181,1.7214971927364362,0.0851606411511947,0.022040514731599892,-140.88053606804215,True,False,lbfgs,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,148,8,0.020695373520135358,0.14054845714849423,0.14724724795996866,0.8829368685269172,8.528743331991127e-07,-87.5210671804279,True,False,powell,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,148,8,0.014728588046786967,0.06337831694247584,0.2323915931714485,0.8162338778930334,0.0006037638440284771,23.77668405161546,True,False,powell,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,93,8,0.007335182887323486,0.2634717890215664,0.027840486886901834,0.9777893746004029,0.3778756929899763,-96.35537528644943,True,False,lbfgs,sensitivity
