fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,C5SER,82,-0.060614986380079866,0.03210502944405992,-1.88802151655696,0.06471827333263146,-0.0499256081559457,0.5107143075100535,0.042694550270972575,0.06060169785536346,0.36779359215455254,-0.004092530107475234,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,C5SER,82,-0.6113892839363334,0.2801928269273905,-2.1820304632379814,0.0337393632684642,-0.9372891986539077,0.16029169068678872,0.4405167904248866,0.027555253095626963,0.4299804987702245,0.09467490981153304,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,C5SER,130,-0.13032015843818456,0.07857400012264015,-1.658565915376305,0.1010239149677082,0.1386650492875111,0.5053678810773998,0.09224613651524177,0.11360293684570262,0.40059314203827323,0.057030674669966364,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,C5SER,130,-0.053292460977114556,0.0575946561257357,-0.9253021818685928,0.35752390553608204,-0.4706058573659518,0.00267163575788862,0.038798467042152424,0.3614795192647553,0.2900275215699186,-0.11690792338390854,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,-0.02179536523251827,0.02491388434922724,-0.8748280648253992,0.3842226456318574,-0.19223085662864434,0.004453329720687241,0.01549617358732485,0.3992908567447566,0.33391113104453973,-0.04787151335676065,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,C5SER,82,-0.279462787325685,0.2229973659622691,-1.2532111584357002,0.21584407291390337,0.020231463495312352,0.9501805914408594,0.09150856098649401,0.24540093784788974,0.382783325211587,0.019714692983108795,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,C5SER,82,-0.06318291229886916,0.05674524376670983,-1.1134486012365332,0.27073621889134875,-0.12890669785071118,0.1220975844035675,0.02296722624895154,0.25183403798925985,0.35546717956767393,-0.023669773627811974,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,C5SER,82,0.048320175543879296,0.5020548652920185,0.09624481084507373,0.9237033508909913,-0.9260649698552815,0.20754038595292076,0.0010401970093781715,0.9952891834149378,0.4027565371592504,0.051436853135280125,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,C5SER,130,-0.26888345592637924,0.12438455686881152,-2.161710928551772,0.03355578834684754,-0.11470315549731883,0.5374086514642569,0.09954799515573512,0.038420413078468135,0.4089451580808182,0.07016982185884812,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,C5SER,130,-0.09655150000130747,0.09326791804963121,-1.035205910245889,0.3036160654827011,-0.3690655382222003,0.009457858406134242,0.03421362773821019,0.3376382348517245,0.2673904573494874,-0.15251989026726975,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,-0.04464962416885197,0.0398887899070983,-1.119352687129435,0.2662578432126199,-0.1685073685550654,0.005733066279537592,0.015600526863955844,0.30683513739603013,0.3281352088400895,-0.05695802511742021,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,C5SER,82,0.11281209625954142,0.10863413486581008,1.0384590110547862,0.30395493321783146,0.011269537016704911,0.970506541703168,-0.10024726570400577,0.28480800279414675,0.3659272988882899,-0.007056642942127711,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,C5SER,82,-0.055021549356538066,0.026795519687142926,-2.053386163021074,0.04518045911654982,-0.07718513687448723,0.30708657532987915,0.04796781169367983,0.040977765710836674,0.3778734648385875,0.011916679449521461,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.6718771301350327,0.22839381814403475,-2.9417483169851764,0.004898707685482993,-0.15789039861889909,0.8054392639617043,0.583444986635232,0.004258715034473676,0.4649603271284698,0.15023110779227555,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.13072990078192398,0.07497427383648822,-1.743663447371741,0.08496560692917156,-0.020718705259780645,0.9252142925915882,0.10946195134555184,0.09234474744187153,0.3973594838071207,0.051943578184372785,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.0424784014613868,0.05612723888982042,-0.7568232876157203,0.4513248327754039,-0.3838429156700274,0.022257400118249816,0.03698195327619791,0.4443445411704602,0.2554492590826821,-0.17130543388212205,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.016716332482201765,0.024199695924153233,-0.6907662201456642,0.49166325090189533,-0.15919560676181335,0.027701299066784875,0.014219766717347237,0.49500760603915694,0.30603284660301755,-0.09172881449037495,sensitivity
