persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,beta_moderator,p_moderator,r_squared,adj_r_squared
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SES,83,0.02148032217533269,0.13836484070476687,0.15524407837946264,0.8772299539481507,-0.2508746694161924,0.3845236254068689,-0.002763650566987949,0.7701206683329119,0.3665756944801887,0.0011385951418360074
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SES,83,-1.5778194235715328,0.8232265714847,-1.9166283963914268,0.06078831241596733,-3.652337903958173,0.015323436278103961,0.03582075550253015,0.11124767067707571,0.42026928607469205,0.08580925881009138
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SES,83,0.5588732251309827,0.20043691523113089,2.78827492673456,0.007384813393007185,1.1987623151392888,0.0013811255867472825,-0.01369936489479008,0.013939006024950934,0.4464264211501736,0.12705704873681223
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SES,83,4.744481359185502,1.8322467819122914,2.589433588325777,0.012440145445103128,8.803975572695231,0.008958284412275886,-0.10991387620781382,0.029834519540614873,0.4519875877981512,0.13582658075862308
neg_persist_crossrun_mean_z_bilateral,C5SPGP,C5SES,83,-0.208878317979734,0.7498644476056867,-0.27855476899415804,0.7816912700374747,-2.4246222618561086,0.07337921862491772,0.0033878267735341777,0.8670619144465168,0.48052304839363513,0.18082480708227078
neg_persist_crossrun_mean_z_bilateral,C5SPGN,C5SES,83,0.5431619346001678,0.4451342578810863,1.2202204727753594,0.22788627216947507,0.3197563848678473,0.6864246337288209,-0.016391855158112305,0.17622254244512806,0.32521573511567436,-0.06408287924066736
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SES,83,0.26296047500519365,0.20873032147258153,1.2598096584627534,0.21336298790481192,0.10265190432048832,0.7821582925102373,-0.008198901409840139,0.14960724459210745,0.37358458478562184,0.012191076008095991
pos_persist_crossrun_mean_z_L,PA_score,C5SES,83,-0.003776862572744344,0.4568230434302779,-0.008267670878386377,0.9934350658701236,0.37991080414911427,0.6119231488101933,-0.004818073109331501,0.7450475311032863,0.35504631458902547,-0.017042350071152068
pos_persist_crossrun_mean_z_L,NA_score,C5SES,83,0.027809141943024564,0.11641423475846419,0.23888094098391718,0.8121368798277806,0.0908297260556099,0.6340456006391542,-0.0001677327454701681,0.9645496113035865,0.3253522415985347,-0.06386761901769522
pos_persist_crossrun_mean_z_L,NA_score_log,C5SES,83,0.05750060170415594,1.0366272783574664,0.055468925914496016,0.9559774642707388,-0.1904199558118831,0.9106710767722059,0.010285422854842373,0.7596596973007297,0.3662576954690481,0.000637135162729674
pos_persist_crossrun_mean_z_L,C5SPGP,C5SES,83,0.5493873892335934,0.4082189868408863,1.3458153759215787,0.18420071436283705,0.39698810540650953,0.5531920045377687,-0.017655685971952766,0.18588164735605062,0.4437985323671073,0.12291307027120768
pos_persist_crossrun_mean_z_L,C5SPGN,C5SES,83,0.008241783777022282,0.23849516123034903,0.034557446509625445,0.9725649481400894,-0.06100491198396696,0.875860674428533,-0.0027271284622641286,0.7244501767677289,0.3001789109857248,-0.10356402498404926
