fc_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN,C5SER,130,-0.06683661432135196,0.06677546482736722,-1.000915747934407,0.3198120774647322,-0.3130444439229589,0.024998920638552566,0.038290969938985196,0.3413802442060898,0.2554044930877877,-0.17137585843506575
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,C5SER,130,-0.026362727507867174,0.028867527258618762,-0.9132312328551193,0.363798263080668,-0.12389054299806211,0.03968924362379979,0.014693543691492528,0.39809154276516956,0.3022852664982586,-0.09762439782591037
conn_l_amyg_safety_vs_threat,PA_score,C5SER,82,-0.4361604971073272,0.2076493052619602,-2.1004669221362837,0.04065184319408599,0.1539084840028455,0.6165579129408294,0.05579164718641297,0.07032724691304393,0.4416231141078537,0.11316612240659119
conn_l_amyg_safety_vs_threat,NA_score,C5SER,82,0.03535449375761758,0.05620112920036395,0.629070879191314,0.5321104233956899,-0.03788672064228739,0.6487329813510323,-0.004068298674866148,0.6206038595422957,0.3403638145551511,-0.047657471000642326
conn_l_amyg_safety_vs_threat,NA_score_log,C5SER,82,0.28306552672355345,0.5015221515727772,0.5644128097549785,0.5749472789004292,-0.11890125827415043,0.8726094195586653,-0.023956578161316078,0.7437724070627112,0.3781901919351429,0.012419716602874109
conn_l_amyg_safety_vs_threat,C5SPGP,C5SER,130,-0.008652081930651478,0.16993203356491698,-0.0509149555215923,0.9595171106082236,-0.020723795076983964,0.9188925097876555,-0.0005603961181863196,0.9798462305599656,0.3749598404386332,0.01670511483638626
conn_l_amyg_safety_vs_threat,C5SPGN,C5SER,130,0.008489283953085125,0.1283854181141263,0.06612342801686952,0.9474405093110827,0.14666788095710603,0.34146641088144747,-0.004226961368355854,0.8009195667288144,0.2134941339019134,-0.23730800886162418
conn_l_amyg_safety_vs_threat,C5SPGN_log,C5SER,130,0.0026827056349444586,0.05526373444911361,0.04854369075283307,0.9614009870916319,0.05755944347834814,0.3855643417715511,-0.001996266285587977,0.7820541944267521,0.26932680081022264,-0.14947369140830835
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,C5SER,82,0.02369659080304337,0.15198246216578462,0.15591661343921903,0.8767142742467506,0.32423056589093274,0.3198531465023486,-0.021615664087300535,0.8210913734233394,0.3650161567903376,-0.008503750980052072
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,C5SER,82,-0.07191821677717161,0.03767475521833123,-1.9089232660011735,0.061906624406483604,-0.08982419130906524,0.2668302575377637,0.045859047960320296,0.057243842266051705,0.3707481185623196,0.000599953010742893
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,C5SER,82,-0.8061526617987915,0.32694221845146787,-2.4657343600868082,0.017077488374617002,-0.9027405746356743,0.19938232661809985,0.5197878083206656,0.014139692716209885,0.4390442627791644,0.10907029970808468
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,C5SER,130,-0.09947045708741928,0.10843827991062807,-0.9173002114142733,0.3616754563436596,-0.23120393130507758,0.3057151062893083,0.06029695057924536,0.36745239756956805,0.3874069917737901,0.036286609009986814
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,C5SER,130,-0.11395578764971936,0.08115125878080201,-1.4042393101692459,0.16402396457844737,-0.28422194673769285,0.09423497256789576,0.06823958952402635,0.17426781696799873,0.24367149124179133,-0.18983387353425507
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,C5SER,130,-0.0491497894521544,0.035040750324818355,-1.402646604212211,0.1644970601225836,-0.10479768180495486,0.15205671166187806,0.029016958666751268,0.1808440760170223,0.29296828242597284,-0.1122816044762136
